,external_ref,status,source,ref,date_time,state,cvv_provided,amount,country,currency,chargeback,amount_USD,local_time,Year,Month,Day
0,nCyEIIGaP5QQ2Wqb-_Rt8,True,GLOBALPAY,evt_1ESgcCOV7fY1ChY1MkZizZt,2019-01-01T00:00:00.000Z,DECLINED,False,1020.46,US,USD,False,1020.46,2019-01-01 00:00:00,2019,1,1
1,ptNiI9B7NNpK7VsMZx6zZ,True,GLOBALPAY,evt_1EBMGCEjEtianKMJaZXOx1y,2019-01-01T04:48:00.000Z,ACCEPTED,False,1582.57,US,USD,True,1582.57,2019-01-01 04:48:00,2019,1,1
2,1GS5BDKBnauCt-3nHPs6x,True,GLOBALPAY,evt_1EOALu0AZqEhZBn9ub_nbcE,2019-01-01T09:36:00.000Z,DECLINED,False,1653.07,US,USD,False,1653.07,2019-01-01 09:36:00,2019,1,1
3,Y_oecYz8GjBDaxmMqkkLQ,True,GLOBALPAY,evt_1ESHsWyaSPqE1mrmJ2B6rvs,2019-01-01T14:24:00.000Z,ACCEPTED,False,2228.17,US,USD,True,2228.17,2019-01-01 14:24:00,2019,1,1
4,LlEs1TnKVa2xX6PH9Zsz0,True,GLOBALPAY,evt_1EjzPk13qLzmvDR_4hXuMMw,2019-01-01T19:12:00.000Z,ACCEPTED,False,2589.92,US,USD,True,2589.92,2019-01-01 19:12:00,2019,1,1
5,XMiBCl0zkTGdVu_IgKNbS,True,GLOBALPAY,evt_1ESWbgipcFeU4B6eW5kWMgn,2019-01-01T00:00:00.000Z,ACCEPTED,False,1509.12,MX,MXN,True,37878.68,2019-01-01 00:00:00,2019,1,1
6,unSNmffbtST60mDH0WpUc,True,GLOBALPAY,evt_1Exxzo9M0d271kmuX5kNmRL,2019-01-01T04:48:00.000Z,ACCEPTED,False,1923.13,MX,MXN,True,48270.27,2019-01-01 04:48:00,2019,1,1
7,-vovSFhnOpqTQVOm2MFme,True,GLOBALPAY,evt_1ERnu8szlZndncFl6bunEBM,2019-01-01T09:36:00.000Z,ACCEPTED,False,1847.42,MX,MXN,True,46369.96,2019-01-01 09:36:00,2019,1,1
8,lTsAIkKdGo7Y009yqBCpd,True,GLOBALPAY,evt_1EOiOA5A29jldBS0TfJ15I-,2019-01-01T14:24:00.000Z,DECLINED,False,2270.79,MX,MXN,False,56996.48,2019-01-01 14:24:00,2019,1,1
9,b8bt9Cxmr1FcWw0_D-Fu0,True,GLOBALPAY,evt_1E30OuikKUAYMIFg92oxAH_,2019-01-01T19:12:00.000Z,ACCEPTED,False,2134.27,MX,MXN,True,53569.85,2019-01-01 19:12:00,2019,1,1
10,d676rW95fMDkNnVSwOHX9,True,GLOBALPAY,evt_1E_OogmiTDXE5VZumnVWkWL,2019-01-01T00:00:00.000Z,ACCEPTED,False,92.02,UK,GBP,True,75.64,2019-01-01 00:00:00,2019,1,1
12,ZQtj3yHyaTyxlGvhdKt8I,True,GLOBALPAY,evt_1E5UEcb2LL2e4qwmZD6mukK,2019-01-01T09:36:00.000Z,DECLINED,False,459.88,UK,GBP,False,378.03,2019-01-01 09:36:00,2019,1,1
13,vFGWrb_Wjqhry08-8zfXh,True,GLOBALPAY,evt_1EYhYUXCVb7Wz2NG6DbHlTo,2019-01-01T14:24:00.000Z,ACCEPTED,False,171.55,UK,GBP,True,141.02,2019-01-01 14:24:00,2019,1,1
14,oSta7fK0P5d4ier1TVVEr,True,GLOBALPAY,evt_1Es4fSnPxpkj-hgFJSSXJEw,2019-01-01T19:12:00.000Z,ACCEPTED,False,683.48,UK,GBP,True,561.84,2019-01-01 19:12:00,2019,1,1
15,wYgc2mjHCUWJv1efhJFM8,True,GLOBALPAY,evt_1EbIH9c7e094n5bXySYR_xD,2019-01-01T00:00:00.000Z,ACCEPTED,False,1666.21,FR,EUR,True,1531.75,2019-01-01 00:00:00,2019,1,1
16,Efn1-fPP8TIhW4MkxkcRG,True,GLOBALPAY,evt_1ENTQ4Xo_16zZhCQ30Ve1xB,2019-01-01T04:48:00.000Z,ACCEPTED,False,2164.35,FR,EUR,True,1989.69,2019-01-01 04:48:00,2019,1,1
17,FP7dufG_9Su4OJT24AIfc,True,GLOBALPAY,evt_1ERDNrYUFcjwzawy81EMkbY,2019-01-01T09:36:00.000Z,ACCEPTED,False,2708.47,FR,EUR,True,2489.9,2019-01-01 09:36:00,2019,1,1
18,DmQyXYhid18oJiWpsXSZb,True,GLOBALPAY,evt_1EIlcl6xvGPp7zEpIxK5z7f,2019-01-01T14:24:00.000Z,DECLINED,False,3077.75,FR,EUR,False,2829.38,2019-01-01 14:24:00,2019,1,1
19,JRaX97jStHW0hMW-QHjl9,True,GLOBALPAY,evt_1EkT3sHKjjf8dAk-yWqTvqw,2019-01-01T19:12:00.000Z,ACCEPTED,False,3267.01,FR,EUR,True,3003.37,2019-01-01 19:12:00,2019,1,1
20,tOClN5zRmeMhifdlBhWG7,True,GLOBALPAY,evt_1ELyHogAOzmoB9IvCTZ1Mb0,2019-01-01T00:00:00.000Z,ACCEPTED,False,802.75,CA,CAD,True,1137.71,2019-01-01 00:00:00,2019,1,1
21,6igaKb272U_I3tJIjiMMc,True,GLOBALPAY,evt_1EojZ5XsAAFnJ-fC6lw7vaG,2019-01-01T04:48:00.000Z,ACCEPTED,False,619.31,CA,CAD,True,877.73,2019-01-01 04:48:00,2019,1,1
22,vbvYmbZ37l0sqUGN302sG,True,GLOBALPAY,evt_1EC-tQBmz9QwudbIT5eUWS0,2019-01-01T09:36:00.000Z,ACCEPTED,False,856.11,CA,CAD,True,1213.34,2019-01-01 09:36:00,2019,1,1
23,U6IYSmKpBvzV63pCAwOkL,True,GLOBALPAY,evt_1E2G-omNPvpW5CFkqrL9ANG,2019-01-01T14:24:00.000Z,DECLINED,False,850.59,CA,CAD,False,1205.51,2019-01-01 14:24:00,2019,1,1
24,WHQeUNR5QU6LqTF6jU_w3,True,GLOBALPAY,evt_1EhAk55OEb-N1ilnbCU2UMq,2019-01-01T19:12:00.000Z,ACCEPTED,False,1320.99,CA,CAD,True,1872.19,2019-01-01 19:12:00,2019,1,1
25,KoU335CmEIXwdqwAZR2TL,True,GLOBALPAY,evt_1E21YDZjUCm11r1TL_iOOCh,2019-01-01T00:00:00.000Z,ACCEPTED,False,1007.43,AE,USD,True,1007.43,2019-01-01 00:00:00,2019,1,1
26,PkVGp258KSRsvzlvw7Uah,True,GLOBALPAY,evt_1ERqXrS69n5ah2WVBA4dVVA,2019-01-01T04:48:00.000Z,ACCEPTED,False,1358.69,AE,USD,True,1358.69,2019-01-01 04:48:00,2019,1,1
27,Oy4TfQVxcLfiyvCEJayCB,True,GLOBALPAY,evt_1E6pyvgL2bDNFVi5yUITlmW,2019-01-01T09:36:00.000Z,ACCEPTED,False,1345.4,AE,USD,True,1345.4,2019-01-01 09:36:00,2019,1,1
28,uNzdAjMMXp9El0aDYIzUm,True,GLOBALPAY,evt_1EL2E3lQVDwZEJg7oK1wfOQ,2019-01-01T14:24:00.000Z,ACCEPTED,False,1857.56,AE,USD,True,1857.56,2019-01-01 14:24:00,2019,1,1
29,HfeEyPvqAR20kPH2MvAPR,True,GLOBALPAY,evt_1EWXP2mB8IGETXoFieyhnRX,2019-01-01T19:12:00.000Z,ACCEPTED,False,1817.14,AE,USD,True,1817.14,2019-01-01 19:12:00,2019,1,1
30,vcFARfAhlWd2c3nW-KKxi,True,GLOBALPAY,evt_1E-7GEiBQgqE83nDxdI15_l,2019-01-02T00:00:00.000Z,ACCEPTED,False,2860.84,US,USD,True,2860.84,2019-01-02 00:00:00,2019,1,2
31,RQXhQbAJHkN1jwMaNu79b,True,GLOBALPAY,evt_1E4oar-SJwNLXHDxQGn60wT,2019-01-02T04:48:00.000Z,ACCEPTED,False,3556.52,US,USD,True,3556.52,2019-01-02 04:48:00,2019,1,2
32,GJJM8FMb2tL2d-oQNVgMw,True,GLOBALPAY,evt_1E32lj7aLmqk72OLB4C7_YL,2019-01-02T09:36:00.000Z,ACCEPTED,False,3322.42,US,USD,True,3322.42,2019-01-02 09:36:00,2019,1,2
33,OzgrYr2o2U8YZ_-5KbVcC,True,GLOBALPAY,evt_1EuxOx-pe58xggEv0FHR48x,2019-01-02T14:24:00.000Z,ACCEPTED,False,3207.16,US,USD,True,3207.16,2019-01-02 14:24:00,2019,1,2
34,RGKjej45sMmg1QdR8HAeu,True,GLOBALPAY,evt_1Ee0PAbFFKU0ZMkbP4twuZw,2019-01-02T19:12:00.000Z,ACCEPTED,False,3678.74,US,USD,True,3678.74,2019-01-02 19:12:00,2019,1,2
35,8eoxlgMKNgvjSX5wQXWm-,True,GLOBALPAY,evt_1ERoyScQfnAKZNzHeIpXOaH,2019-01-02T00:00:00.000Z,ACCEPTED,False,2373.28,MX,MXN,True,59541.77,2019-01-02 00:00:00,2019,1,2
36,f3HFG7ahP-CAaNDPTfHCx,True,GLOBALPAY,evt_1E-O-x0GxWsSQR7ylqxfcbR,2019-01-02T04:48:00.000Z,DECLINED,False,2350.81,MX,MXN,False,58978.03,2019-01-02 04:48:00,2019,1,2
37,qRliPYK32-fxuG_8gtzwo,True,GLOBALPAY,evt_1E9Mg2eDd4zbn9FeAEVDs2J,2019-01-02T09:36:00.000Z,DECLINED,False,2983.89,MX,MXN,False,74860.99,2019-01-02 09:36:00,2019,1,2
38,jp3-kF2_3PR1kKvgxmGrM,True,GLOBALPAY,evt_1EZg_Nz6eRkKkfHxZpWF6Ee,2019-01-02T14:24:00.000Z,ACCEPTED,False,3509.0,MX,MXN,True,88035.16,2019-01-02 14:24:00,2019,1,2
39,0n2Qg32_o5znAmfoSLg7x,True,GLOBALPAY,evt_1EiziOD_xpib4yUI7Pf5p4y,2019-01-02T19:12:00.000Z,ACCEPTED,False,3948.51,MX,MXN,True,99061.75,2019-01-02 19:12:00,2019,1,2
40,3t9Nt9ihAZpbXyjWEpcz0,True,GLOBALPAY,evt_1EeNHCA1E56QN_uw77Ha66V,2019-01-02T00:00:00.000Z,DECLINED,False,496.74,UK,GBP,False,411.31,2019-01-02 00:00:00,2019,1,2
41,PRa0HqTzZOmz5qE8Doa3G,True,GLOBALPAY,evt_1EkXsTeM-nJvkrPvGMqzAYe,2019-01-02T04:48:00.000Z,ACCEPTED,False,290.61,UK,GBP,True,240.63,2019-01-02 04:48:00,2019,1,2
42,G_vtELr0H6gGMq5WWdJLB,True,GLOBALPAY,evt_1E_25fw8pmnjndqfafZVO05,2019-01-02T09:36:00.000Z,ACCEPTED,False,256.46,UK,GBP,True,212.35,2019-01-02 09:36:00,2019,1,2
43,2wzqGAWXzZ-A89MAJWhah,True,GLOBALPAY,evt_1EWfevaSyxzJFP_7S2C4-71,2019-01-02T14:24:00.000Z,DECLINED,False,42.19,UK,GBP,False,34.93,2019-01-02 14:24:00,2019,1,2
44,3nOlqF7eFvyJQG4kWn0sd,True,GLOBALPAY,evt_1ElXVF_gTpKVOw26-RvUj1h,2019-01-02T19:12:00.000Z,ACCEPTED,False,60.81,UK,GBP,True,50.35,2019-01-02 19:12:00,2019,1,2
45,zmylL4Rge2PBr6z9g8CLi,True,GLOBALPAY,evt_1Edp39u65v7289yV14ugulp,2019-01-02T00:00:00.000Z,DECLINED,False,2997.61,FR,EUR,False,2750.86,2019-01-02 00:00:00,2019,1,2
46,vJCUNXj3zil6RTZBgLaTP,True,GLOBALPAY,evt_1E0sUU9xacvq4kL7Wo2TKMC,2019-01-02T04:48:00.000Z,DECLINED,False,3521.93,FR,EUR,False,3232.02,2019-01-02 04:48:00,2019,1,2
47,JXcp_-Pl5d02pPFP7JjiD,True,GLOBALPAY,evt_1E0wXUz3pgRkxG9WQQIg1zu,2019-01-02T09:36:00.000Z,ACCEPTED,False,3443.9,FR,EUR,True,3160.41,2019-01-02 09:36:00,2019,1,2
48,56Rf9XD6HfNTsSPCe2l2s,True,GLOBALPAY,evt_1EpaRJEesvXGbj0ylOIQ8wd,2019-01-02T14:24:00.000Z,ACCEPTED,False,3153.28,FR,EUR,True,2893.71,2019-01-02 14:24:00,2019,1,2
49,VmeZ1pMsMLkmXqnpKrfLY,True,GLOBALPAY,evt_1Es-YdhEoZxvh99Bw8C34q1,2019-01-02T19:12:00.000Z,ACCEPTED,False,2931.98,FR,EUR,True,2690.63,2019-01-02 19:12:00,2019,1,2
